ticker,total,environmental,social,governance,controversy
MMM,35.0,13.0,14.0,8.0,3.0
AOS,25.0,7.0,12.0,6.0,2.0
ABT,26.0,3.0,14.0,9.0,3.0
ABBV,27.0,1.0,17.0,10.0,3.0
ABMD,,,,,
ACN,11.0,1.0,5.0,5.0,2.0
ATVI,16.0,0.0,10.0,6.0,2.0
ADM,34.0,16.0,14.0,5.0,3.0
ADBE,11.0,0.0,6.0,5.0,1.0
AAP,13.0,0.0,9.0,3.0,2.0
AMD,,,,,
AES,35.0,21.0,8.0,6.0,2.0
AFL,23.0,2.0,8.0,13.0,2.0
A,17.0,1.0,9.0,6.0,2.0
APD,11.0,6.0,1.0,4.0,1.0
AKAM,20.0,2.0,10.0,8.0,1.0
ALK,,,,,
ALB,37.0,19.0,9.0,9.0,1.0
ARE,15.0,3.0,6.0,6.0,0.0
ALGN,,,,,
ALLE,23.0,12.0,4.0,7.0,0.0
LNT,22.0,10.0,6.0,7.0,1.0
ALL,21.0,2.0,8.0,11.0,2.0
GOOGL,23.0,0.0,11.0,12.0,4.0
GOOG,,,,,
MO,24.0,5.0,13.0,7.0,2.0
AMZN,31.0,7.0,15.0,10.0,3.0
AMCR,,,,,
AEE,29.0,16.0,8.0,6.0,2.0
AAL,30.0,12.0,13.0,5.0,2.0
AEP,35.0,20.0,10.0,5.0,2.0
AXP,20.0,0.0,11.0,9.0,2.0
AIG,27.0,2.0,11.0,15.0,2.0
AMT,12.0,4.0,4.0,5.0,0.0
AWK,28.0,13.0,9.0,5.0,2.0
AMP,23.0,3.0,8.0,12.0,2.0
ABC,13.0,1.0,6.0,6.0,3.0
AME,26.0,8.0,10.0,8.0,1.0
AMGN,19.0,0.0,13.0,6.0,2.0
APH,22.0,8.0,6.0,8.0,2.0
ADI,24.0,9.0,8.0,7.0,0.0
ANSS,15.0,1.0,9.0,5.0,0.0
ANTM,12.0,0.0,6.0,6.0,2.0
AON,,,,,
APA,39.0,22.0,9.0,8.0,2.0
AAPL,17.0,0.0,8.0,9.0,3.0
AMAT,12.0,4.0,3.0,5.0,0.0
APTV,13.0,4.0,5.0,5.0,1.0
ANET,18.0,0.0,9.0,8.0,2.0
AJG,22.0,0.0,9.0,12.0,2.0
AIZ,24.0,2.0,10.0,13.0,3.0
T,19.0,2.0,11.0,6.0,3.0
ATO,32.0,13.0,12.0,7.0,2.0
ADSK,15.0,1.0,9.0,5.0,0.0
ADP,14.0,1.0,7.0,5.0,1.0
AZO,11.0,0.0,7.0,4.0,2.0
AVB,10.0,3.0,3.0,4.0,0.0
AVY,18.0,12.0,2.0,4.0,1.0
BKR,,,,,
BLL,14.0,9.0,1.0,4.0,1.0
BAC,27.0,2.0,14.0,11.0,3.0
BBWI,16.0,2.0,8.0,6.0,2.0
BAX,27.0,3.0,16.0,9.0,2.0
BDX,29.0,4.0,16.0,9.0,3.0
BRK.B,,,,,
BBY,14.0,2.0,7.0,5.0,2.0
BIO,21.0,1.0,12.0,7.0,2.0
TECH,,,,,
BIIB,21.0,0.0,13.0,8.0,2.0
BLK,21.0,1.0,10.0,10.0,2.0
BK,23.0,2.0,10.0,11.0,3.0
BA,36.0,8.0,20.0,8.0,4.0
BKNG,20.0,4.0,10.0,6.0,2.0
BWA,13.0,3.0,4.0,7.0,2.0
BXP,14.0,4.0,5.0,5.0,1.0
BSX,29.0,3.0,15.0,10.0,2.0
BMY,23.0,0.0,15.0,8.0,2.0
AVGO,25.0,9.0,9.0,8.0,3.0
BR,16.0,1.0,9.0,7.0,2.0
BF.B,,,,,
CHRW,20.0,5.0,9.0,6.0,1.0
COG,47.0,23.0,14.0,9.0,2.0
CDNS,13.0,1.0,7.0,5.0,0.0
CZR,,,,,
CPB,22.0,10.0,8.0,5.0,2.0
COF,23.0,0.0,13.0,10.0,4.0
CAH,12.0,2.0,5.0,4.0,3.0
KMX,12.0,0.0,8.0,4.0,1.0
CCL,24.0,10.0,10.0,4.0,3.0
CARR,,,,,
CTLT,,,,,
CAT,34.0,7.0,18.0,9.0,4.0
CBOE,19.0,3.0,7.0,9.0,2.0
CBRE,7.0,1.0,2.0,3.0,1.0
CDW,9.0,2.0,3.0,3.0,0.0
CE,31.0,15.0,8.0,7.0,2.0
CNC,22.0,0.0,16.0,7.0,2.0
CNP,35.0,18.0,12.0,6.0,2.0
CERN,20.0,0.0,13.0,7.0,2.0
CF,33.0,19.0,9.0,5.0,2.0
CRL,,,,,
SCHW,24.0,2.0,10.0,12.0,2.0
CHTR,26.0,6.0,13.0,8.0,2.0
CVX,41.0,20.0,11.0,10.0,3.0
CMG,24.0,5.0,14.0,5.0,3.0
CB,24.0,2.0,11.0,11.0,2.0
CHD,22.0,8.0,8.0,7.0,2.0
CI,12.0,0.0,6.0,6.0,2.0
CINF,24.0,2.0,9.0,14.0,1.0
CTAS,21.0,5.0,10.0,7.0,2.0
CSCO,11.0,0.0,6.0,6.0,2.0
C,25.0,2.0,11.0,13.0,4.0
CFG,22.0,2.0,10.0,10.0,2.0
CTXS,15.0,1.0,8.0,6.0,2.0
CLX,22.0,8.0,8.0,6.0,2.0
CME,15.0,2.0,6.0,6.0,1.0
CMS,24.0,12.0,7.0,5.0,2.0
KO,25.0,9.0,11.0,5.0,3.0
CTSH,18.0,1.0,10.0,6.0,2.0
CL,21.0,7.0,9.0,5.0,3.0
CMCSA,25.0,5.0,12.0,8.0,2.0
CMA,27.0,2.0,13.0,12.0,2.0
CAG,33.0,12.0,16.0,5.0,2.0
COP,36.0,19.0,10.0,7.0,2.0
ED,25.0,5.0,14.0,7.0,3.0
STZ,23.0,9.0,9.0,5.0,2.0
CPRT,23.0,4.0,12.0,7.0,1.0
GLW,20.0,8.0,5.0,7.0,2.0
CTVA,,,,,
COST,23.0,6.0,11.0,6.0,3.0
CCI,13.0,5.0,3.0,5.0,0.0
CSX,18.0,6.0,9.0,4.0,3.0
CMI,19.0,6.0,8.0,6.0,2.0
CVS,23.0,0.0,16.0,6.0,3.0
DHI,23.0,9.0,7.0,6.0,2.0
DHR,18.0,1.0,10.0,7.0,2.0
DRI,26.0,8.0,13.0,5.0,2.0
DVA,21.0,0.0,13.0,9.0,2.0
DE,17.0,4.0,9.0,4.0,2.0
DAL,26.0,9.0,12.0,5.0,2.0
XRAY,20.0,3.0,10.0,7.0,1.0
DVN,32.0,16.0,8.0,8.0,2.0
DXCM,27.0,6.0,13.0,8.0,2.0
FANG,,,,,
DLR,13.0,3.0,4.0,6.0,1.0
DFS,21.0,0.0,11.0,10.0,1.0
DISCA,17.0,0.0,9.0,8.0,1.0
DISCK,,,,,
DISH,23.0,2.0,11.0,10.0,3.0
DG,17.0,3.0,8.0,5.0,2.0
DLTR,18.0,3.0,9.0,6.0,2.0
D,28.0,13.0,9.0,6.0,2.0
DPZ,27.0,5.0,15.0,7.0,2.0
DOV,28.0,8.0,14.0,6.0,1.0
DOW,,,,,
DTE,25.0,13.0,7.0,5.0,2.0
DUK,29.0,15.0,8.0,5.0,3.0
DRE,13.0,5.0,4.0,5.0,0.0
DD,30.0,14.0,9.0,7.0,3.0
DXC,14.0,1.0,7.0,6.0,2.0
EMN,25.0,12.0,5.0,8.0,2.0
ETN,17.0,5.0,7.0,6.0,1.0
EBAY,17.0,1.0,9.0,6.0,2.0
ECL,24.0,9.0,8.0,6.0,2.0
EIX,27.0,10.0,11.0,6.0,3.0
EW,19.0,2.0,9.0,8.0,2.0
EA,12.0,0.0,7.0,5.0,2.0
LLY,29.0,2.0,17.0,10.0,2.0
EMR,31.0,10.0,14.0,7.0,2.0
ENPH,,,,,
ETR,34.0,19.0,8.0,7.0,2.0
EOG,39.0,20.0,11.0,8.0,1.0
EFX,24.0,0.0,17.0,7.0,4.0
EQIX,15.0,3.0,6.0,6.0,1.0
EQR,11.0,3.0,3.0,5.0,0.0
ESS,13.0,4.0,3.0,6.0,0.0
EL,24.0,7.0,9.0,8.0,2.0
ETSY,,,,,
RE,18.0,1.0,7.0,10.0,1.0
EVRG,,,,,
ES,22.0,6.0,10.0,6.0,2.0
EXC,25.0,10.0,9.0,7.0,3.0
EXPE,26.0,2.0,14.0,9.0,2.0
EXPD,19.0,4.0,9.0,5.0,0.0
EXR,14.0,4.0,4.0,6.0,1.0
XOM,36.0,17.0,11.0,8.0,3.0
FFIV,19.0,1.0,12.0,5.0,1.0
FB,28.0,1.0,17.0,10.0,4.0
FAST,25.0,9.0,9.0,7.0,2.0
FRT,12.0,2.0,4.0,6.0,1.0
FDX,21.0,5.0,10.0,6.0,2.0
FIS,18.0,1.0,11.0,6.0,1.0
FITB,19.0,1.0,8.0,9.0,2.0
FRC,25.0,2.0,12.0,12.0,1.0
FE,35.0,17.0,10.0,7.0,3.0
FISV,18.0,1.0,11.0,6.0,2.0
FLT,18.0,1.0,10.0,7.0,2.0
FMC,39.0,18.0,14.0,7.0,2.0
F,31.0,9.0,12.0,10.0,3.0
FTNT,20.0,1.0,12.0,6.0,2.0
FTV,35.0,16.0,14.0,6.0,2.0
FBHS,25.0,14.0,4.0,7.0,0.0
FOXA,,,,,
FOX,,,,,
BEN,19.0,1.0,9.0,9.0,2.0
FCX,34.0,18.0,11.0,5.0,4.0
GPS,15.0,1.0,8.0,6.0,3.0
GRMN,19.0,6.0,9.0,5.0,2.0
IT,24.0,0.0,17.0,6.0,1.0
GNRC,,,,,
GD,37.0,9.0,20.0,8.0,3.0
GE,43.0,16.0,16.0,12.0,3.0
GIS,21.0,8.0,9.0,4.0,2.0
GM,31.0,10.0,13.0,8.0,4.0
GPC,13.0,4.0,5.0,4.0,2.0
GILD,22.0,0.0,14.0,8.0,2.0
GPN,19.0,1.0,11.0,7.0,2.0
GL,21.0,2.0,8.0,11.0,1.0
GS,25.0,1.0,13.0,11.0,3.0
HAL,24.0,8.0,10.0,7.0,2.0
HBI,14.0,1.0,7.0,5.0,2.0
HAS,10.0,0.0,5.0,5.0,2.0
HCA,26.0,3.0,16.0,7.0,2.0
PEAK,11.0,3.0,3.0,4.0,2.0
HSIC,13.0,2.0,6.0,6.0,2.0
HES,30.0,16.0,6.0,7.0,2.0
HPE,12.0,1.0,5.0,6.0,2.0
HLT,20.0,8.0,8.0,4.0,2.0
HOLX,30.0,4.0,14.0,12.0,2.0
HD,11.0,3.0,5.0,4.0,2.0
HON,31.0,10.0,12.0,9.0,3.0
HRL,29.0,12.0,11.0,6.0,3.0
HST,14.0,4.0,6.0,5.0,1.0
HWM,,,,,
HPQ,10.0,0.0,5.0,5.0,2.0
HUM,23.0,0.0,17.0,5.0,2.0
HBAN,21.0,2.0,11.0,8.0,2.0
HII,,,,,
IBM,15.0,0.0,7.0,7.0,2.0
IEX,27.0,8.0,13.0,6.0,0.0
IDXX,21.0,4.0,7.0,10.0,0.0
INFO,24.0,0.0,16.0,8.0,1.0
ITW,20.0,4.0,9.0,6.0,2.0
ILMN,11.0,1.0,4.0,7.0,3.0
INCY,26.0,0.0,18.0,8.0,1.0
IR,,,,,
INTC,17.0,4.0,6.0,7.0,3.0
ICE,16.0,2.0,7.0,7.0,3.0
IFF,23.0,10.0,6.0,7.0,2.0
IP,25.0,15.0,5.0,5.0,3.0
IPG,15.0,0.0,9.0,6.0,2.0
INTU,17.0,1.0,10.0,6.0,2.0
ISRG,30.0,5.0,14.0,11.0,1.0
IVZ,25.0,2.0,13.0,10.0,1.0
IPGP,12.0,3.0,4.0,5.0,0.0
IQV,19.0,1.0,11.0,7.0,2.0
IRM,15.0,5.0,4.0,6.0,2.0
JBHT,14.0,3.0,6.0,5.0,1.0
JKHY,16.0,1.0,10.0,5.0,0.0
J,25.0,4.0,14.0,8.0,3.0
SJM,27.0,11.0,10.0,6.0,2.0
JNJ,29.0,1.0,20.0,8.0,4.0
JCI,13.0,6.0,3.0,5.0,3.0
JPM,28.0,1.0,16.0,11.0,3.0
JNPR,17.0,0.0,9.0,7.0,2.0
KSU,24.0,9.0,10.0,4.0,2.0
K,27.0,7.0,15.0,5.0,2.0
KEY,24.0,2.0,11.0,11.0,1.0
KEYS,9.0,2.0,2.0,5.0,1.0
KMB,22.0,8.0,8.0,6.0,2.0
KIM,13.0,4.0,4.0,5.0,0.0
KMI,18.0,9.0,6.0,4.0,2.0
KLAC,20.0,7.0,7.0,6.0,0.0
KHC,34.0,13.0,14.0,7.0,3.0
KR,21.0,5.0,9.0,6.0,3.0
LHX,,,,,
LH,15.0,1.0,8.0,7.0,2.0
LRCX,15.0,5.0,5.0,5.0,1.0
LW,,,,,
LVS,18.0,2.0,8.0,9.0,2.0
LEG,49.0,20.0,17.0,11.0,2.0
LDOS,14.0,1.0,7.0,6.0,1.0
LEN,25.0,10.0,9.0,6.0,2.0
LNC,18.0,2.0,7.0,9.0,2.0
LIN,,,,,
LYV,,,,,
LKQ,14.0,5.0,5.0,4.0,2.0
LMT,29.0,5.0,16.0,7.0,3.0
L,15.0,1.0,3.0,11.0,1.0
LOW,12.0,4.0,5.0,3.0,2.0
LUMN,26.0,5.0,13.0,8.0,2.0
LYB,27.0,16.0,3.0,7.0,2.0
MTB,27.0,2.0,13.0,12.0,2.0
MRO,43.0,24.0,10.0,9.0,2.0
MPC,28.0,15.0,7.0,6.0,3.0
MKTX,,,,,
MAR,22.0,8.0,10.0,4.0,3.0
MMC,19.0,0.0,8.0,11.0,2.0
MLM,32.0,18.0,5.0,9.0,2.0
MAS,26.0,14.0,4.0,8.0,1.0
MA,17.0,0.0,8.0,9.0,4.0
MKC,28.0,9.0,14.0,5.0,2.0
MCD,24.0,4.0,15.0,6.0,3.0
MCK,16.0,2.0,9.0,5.0,4.0
MDT,23.0,2.0,13.0,8.0,3.0
MRK,22.0,1.0,11.0,10.0,3.0
MET,18.0,1.0,8.0,9.0,2.0
MTD,13.0,1.0,7.0,5.0,1.0
MGM,28.0,3.0,13.0,12.0,2.0
MCHP,32.0,14.0,9.0,8.0,1.0
MU,18.0,7.0,4.0,6.0,2.0
MSFT,13.0,0.0,8.0,5.0,3.0
MAA,19.0,6.0,7.0,6.0,1.0
MRNA,,,,,
MHK,14.0,5.0,4.0,4.0,2.0
TAP,19.0,6.0,7.0,5.0,2.0
MDLZ,23.0,7.0,11.0,5.0,3.0
MPWR,,,,,
MNST,28.0,12.0,11.0,5.0,2.0
MCO,12.0,0.0,6.0,6.0,2.0
MS,23.0,1.0,12.0,10.0,3.0
MSI,15.0,2.0,7.0,5.0,3.0
MSCI,12.0,2.0,5.0,5.0,1.0
NDAQ,12.0,2.0,5.0,5.0,2.0
NTAP,16.0,3.0,8.0,6.0,0.0
NFLX,17.0,0.0,7.0,10.0,2.0
NWL,16.0,6.0,5.0,4.0,2.0
NEM,23.0,8.0,10.0,5.0,3.0
NWSA,13.0,0.0,6.0,7.0,2.0
NWS,,,,,
NEE,27.0,13.0,8.0,6.0,2.0
NLSN,23.0,0.0,17.0,6.0,1.0
NKE,15.0,2.0,6.0,7.0,3.0
NI,30.0,15.0,10.0,5.0,3.0
NSC,24.0,9.0,12.0,3.0,2.0
NTRS,25.0,2.0,13.0,10.0,2.0
NOC,30.0,9.0,17.0,5.0,3.0
NLOK,17.0,1.0,11.0,5.0,2.0
NCLH,28.0,13.0,11.0,4.0,2.0
NOV,33.0,13.0,12.0,9.0,1.0
NRG,32.0,17.0,9.0,6.0,2.0
NUE,37.0,11.0,16.0,10.0,2.0
NVDA,13.0,3.0,4.0,6.0,2.0
NVR,24.0,9.0,9.0,6.0,2.0
NXPI,20.0,8.0,7.0,5.0,1.0
ORLY,13.0,0.0,9.0,4.0,1.0
OXY,38.0,20.0,11.0,7.0,2.0
ODFL,,,,,
OMC,18.0,0.0,11.0,8.0,2.0
OKE,25.0,14.0,8.0,3.0,1.0
ORCL,18.0,0.0,11.0,7.0,2.0
OGN,,,,,
OTIS,,,,,
PCAR,28.0,8.0,11.0,9.0,3.0
PKG,14.0,9.0,1.0,4.0,2.0
PH,28.0,8.0,12.0,7.0,2.0
PAYX,17.0,1.0,10.0,6.0,0.0
PAYC,,,,,
PYPL,16.0,1.0,9.0,6.0,2.0
PENN,,,,,
PNR,29.0,9.0,14.0,7.0,1.0
PBCT,24.0,2.0,12.0,10.0,2.0
PEP,17.0,5.0,8.0,5.0,3.0
PKI,18.0,1.0,11.0,6.0,2.0
PRGO,40.0,3.0,24.0,13.0,2.0
PFE,25.0,2.0,13.0,10.0,3.0
PM,24.0,4.0,11.0,9.0,3.0
PSX,33.0,19.0,8.0,6.0,3.0
PNW,26.0,11.0,9.0,6.0,2.0
PXD,33.0,15.0,9.0,9.0,1.0
PNC,22.0,2.0,12.0,8.0,3.0
POOL,,,,,
PPG,24.0,9.0,8.0,7.0,1.0
PPL,34.0,20.0,8.0,6.0,2.0
PFG,20.0,2.0,8.0,10.0,1.0
PG,27.0,9.0,10.0,7.0,3.0
PGR,23.0,2.0,10.0,12.0,2.0
PLD,10.0,2.0,3.0,4.0,1.0
PRU,17.0,1.0,7.0,9.0,2.0
PTC,20.0,1.0,13.0,6.0,2.0
PEG,29.0,15.0,9.0,6.0,2.0
PSA,12.0,5.0,3.0,5.0,1.0
PHM,24.0,9.0,9.0,5.0,2.0
PVH,16.0,1.0,9.0,5.0,3.0
QRVO,32.0,16.0,9.0,7.0,0.0
QCOM,18.0,6.0,3.0,9.0,4.0
PWR,36.0,9.0,17.0,10.0,2.0
DGX,19.0,0.0,10.0,9.0,3.0
RL,14.0,1.0,7.0,6.0,2.0
RJF,27.0,2.0,13.0,12.0,2.0
RTX,,,,,
O,14.0,4.0,5.0,5.0,0.0
REG,12.0,4.0,4.0,5.0,0.0
REGN,21.0,0.0,13.0,7.0,2.0
RF,19.0,2.0,10.0,8.0,2.0
RSG,21.0,12.0,6.0,3.0,3.0
RMD,27.0,4.0,12.0,11.0,1.0
RHI,9.0,0.0,6.0,4.0,1.0
ROK,19.0,6.0,7.0,6.0,1.0
ROL,20.0,2.0,12.0,7.0,0.0
ROP,20.0,1.0,14.0,5.0,0.0
ROST,15.0,2.0,8.0,6.0,2.0
RCL,21.0,9.0,8.0,4.0,3.0
SPGI,13.0,2.0,6.0,5.0,1.0
CRM,11.0,0.0,7.0,4.0,2.0
SBAC,15.0,3.0,6.0,5.0,0.0
SLB,24.0,7.0,10.0,7.0,1.0
STX,11.0,2.0,4.0,5.0,1.0
SEE,20.0,14.0,3.0,4.0,2.0
SRE,30.0,15.0,9.0,6.0,3.0
NOW,17.0,1.0,9.0,6.0,1.0
SHW,29.0,12.0,11.0,6.0,2.0
SPG,15.0,5.0,4.0,6.0,1.0
SWKS,33.0,15.0,10.0,8.0,0.0
SNA,31.0,9.0,14.0,8.0,1.0
SO,34.0,16.0,11.0,7.0,2.0
LUV,31.0,10.0,15.0,6.0,2.0
SWK,27.0,6.0,13.0,8.0,1.0
SBUX,21.0,3.0,13.0,4.0,2.0
STT,23.0,2.0,12.0,9.0,2.0
STE,,,,,
SYK,31.0,4.0,15.0,12.0,3.0
SIVB,29.0,2.0,13.0,14.0,0.0
SYF,19.0,0.0,12.0,7.0,1.0
SNPS,14.0,1.0,9.0,4.0,0.0
SYY,12.0,2.0,5.0,5.0,2.0
TMUS,23.0,3.0,13.0,7.0,3.0
TROW,20.0,2.0,12.0,6.0,2.0
TTWO,,,,,
TPR,14.0,1.0,7.0,5.0,2.0
TGT,15.0,2.0,8.0,5.0,3.0
TEL,16.0,7.0,5.0,5.0,1.0
TDY,,,,,
TFX,29.0,5.0,17.0,8.0,2.0
TER,19.0,7.0,6.0,6.0,0.0
TSLA,30.0,3.0,17.0,10.0,3.0
TXN,20.0,9.0,5.0,6.0,2.0
TXT,36.0,10.0,18.0,8.0,2.0
COO,21.0,3.0,11.0,7.0,2.0
HIG,18.0,2.0,7.0,9.0,2.0
HSY,26.0,11.0,10.0,5.0,3.0
MOS,36.0,16.0,12.0,8.0,2.0
TRV,19.0,1.0,7.0,11.0,1.0
DIS,15.0,0.0,7.0,8.0,2.0
TMO,14.0,2.0,6.0,6.0,3.0
TJX,15.0,2.0,7.0,6.0,2.0
TSCO,14.0,3.0,7.0,4.0,2.0
TT,16.0,8.0,3.0,5.0,2.0
TDG,40.0,11.0,20.0,8.0,2.0
TRMB,13.0,3.0,4.0,6.0,0.0
TFC,,,,,
TWTR,20.0,3.0,10.0,7.0,3.0
TYL,,,,,
TSN,37.0,13.0,13.0,10.0,4.0
USB,30.0,2.0,16.0,12.0,3.0
UDR,13.0,4.0,4.0,5.0,0.0
ULTA,17.0,4.0,7.0,6.0,1.0
UAA,16.0,2.0,8.0,6.0,2.0
UA,,,,,
UNP,25.0,9.0,12.0,4.0,2.0
UAL,30.0,11.0,14.0,6.0,2.0
UPS,21.0,6.0,9.0,6.0,3.0
URI,17.0,4.0,7.0,6.0,1.0
UNH,20.0,0.0,14.0,6.0,3.0
UHS,31.0,3.0,19.0,9.0,3.0
UNM,23.0,3.0,8.0,12.0,1.0
VLO,28.0,16.0,7.0,5.0,3.0
VTR,12.0,3.0,4.0,4.0,0.0
VRSN,22.0,3.0,13.0,6.0,1.0
VRSK,21.0,0.0,15.0,6.0,1.0
VZ,18.0,2.0,10.0,6.0,3.0
VRTX,25.0,0.0,17.0,8.0,2.0
VFC,13.0,1.0,7.0,5.0,2.0
VIAC,,,,,
VTRS,,,,,
V,16.0,1.0,8.0,8.0,3.0
VNO,13.0,3.0,4.0,6.0,1.0
VMC,29.0,15.0,5.0,9.0,2.0
WRB,24.0,2.0,8.0,15.0,1.0
GWW,15.0,3.0,6.0,6.0,1.0
WAB,32.0,10.0,14.0,8.0,1.0
WBA,18.0,2.0,12.0,5.0,3.0
WMT,27.0,3.0,17.0,7.0,4.0
WM,15.0,8.0,4.0,4.0,2.0
WAT,18.0,1.0,11.0,6.0,0.0
WEC,33.0,18.0,9.0,5.0,1.0
WFC,33.0,1.0,16.0,16.0,5.0
WELL,11.0,3.0,3.0,5.0,1.0
WST,,,,,
WDC,12.0,2.0,4.0,6.0,1.0
WU,14.0,1.0,7.0,6.0,3.0
WRK,,,,,
WY,17.0,10.0,3.0,4.0,2.0
WHR,18.0,7.0,7.0,5.0,2.0
WMB,21.0,9.0,9.0,3.0,2.0
WLTW,21.0,0.0,10.0,10.0,2.0
WYNN,27.0,4.0,12.0,12.0,3.0
XEL,29.0,16.0,9.0,4.0,1.0
XLNX,19.0,5.0,6.0,8.0,1.0
XYL,17.0,4.0,8.0,5.0,2.0
YUM,22.0,4.0,13.0,5.0,3.0
ZBRA,,,,,
ZBH,28.0,5.0,14.0,10.0,2.0
ZION,,,,,
ZTS,18.0,1.0,8.0,9.0,1.0
