ticker,minority_pct,primary_school,high_school,hs_diploma,some_college,bsba,income_l15,income_15_25,income_25_50,income_50_75,income_p75,pm25,ozone,nata_dieselpm,nata_cancerrisk,nata_resphi,traffic_prox,lead_paint,rmp_prox,superfund_prox,hazardwaste_prox,waterdischarge_prox
MMM,59%,"12,349 (12.94%)","7,306 (7.66%)","25,292 (26.51%)","27,490 (28.81%)","22,968 (24.07%)","8,381 (15.44%)","6,445 (11.87%)","14,147 (26.06%)","10,311 (18.99%)","15,003 (27.64%)",73.0,73.1,77.7,74.5,74.2,81.7,89.5,87.0,82.6,77.4,92.9
ABMD,9%,"1,226 (2.51%)","1,776 (3.64%)","11,731 (24.02%)","12,430 (25.45%)","21,670 (44.37%)","2,668 (9.52%)","2,033 (7.26%)","5,193 (18.54%)","3,918 (13.99%)","14,202 (50.7%)",14.3,8.8,9.1,9.7,11.1,1.4,1.2,16.1,1.0,6.4,24.2
ADBE,70%,"20,456 (12.43%)","13,890 (8.44%)","29,648 (18.02%)","37,018 (22.5%)","63,546 (38.62%)","8,168 (9.77%)","6,119 (7.32%)","13,527 (16.17%)","12,159 (14.54%)","43,670 (52.21%)",63.1,62.7,65.0,63.4,64.4,89.0,67.4,73.8,77.1,82.4,79.1
AMD,71%,"5,570 (4.38%)","6,362 (5.01%)","16,568 (13.04%)","23,551 (18.53%)","75,035 (59.04%)","3,258 (5.09%)","2,590 (4.05%)","7,217 (11.27%)","6,436 (10.05%)","44,526 (69.54%)",86.6,84.4,84.2,85.6,87.7,88.8,81.4,93.2,99.5,98.6,81.9
AFL,68%,"3,349 (8%)","7,104 (16%)","14,165 (32%)","12,464 (28%)","6,748 (15%)","7,876 (27%)","5,289 (18%)","8,412 (29%)","3,885 (13%)","3,664 (13%)",88.0,84.0,84.2,91.4,92.9,85.3,93.1,93.7,67.2,82.8,91.4
A,64%,"5,092 (2.83%)","5,258 (2.92%)","19,822 (11%)","34,886 (19.36%)","115,130 (63.9%)","4,856 (5.32%)","3,423 (3.75%)","9,550 (10.45%)","9,657 (10.57%)","63,864 (69.91%)",79.7,77.9,73.8,77.7,80.2,97.2,84.3,68.7,95.6,92.2,73.4
APD,16%,708 (2.14%),"1,432 (4.34%)","7,715 (23.37%)","7,785 (23.58%)","15,373 (46.57%)",560 (3.11%),973 (5.4%),"3,376 (18.74%)","2,799 (15.54%)","10,308 (57.22%)",46.5,48.6,37.8,44.7,46.4,20.4,34.3,6.8,32.0,15.3,8.2
ALB,46%,"2,289 (4%)","4,959 (10%)","9,023 (17%)","11,667 (22%)","24,196 (46%)","5,656 (16%)","4,135 (12%)","7,999 (23%)","5,412 (16%)","11,725 (34%)",43.5,44.3,28.3,37.0,35.8,36.6,15.4,35.4,39.5,10.0,24.1
ALL,34%,"2,678 (4.19%)","2,415 (3.78%)","11,074 (17.32%)","13,774 (21.55%)","33,990 (53.17%)","2,204 (6.59%)","2,407 (7.19%)","5,748 (17.18%)","4,862 (14.53%)","18,242 (54.51%)",81.0,81.8,86.3,81.3,80.7,96.3,76.6,71.7,73.6,85.2,95.9
AMZN,,"4,173 (2.18%)","3,749 (1.96%)","13,648 (7.13%)","36,711 (19.17%)","133,203 (69.56%)","13,810 (10.57%)","6,915 (5.29%)","19,468 (14.89%)","18,480 (14.14%)","72,035 (55.11%)",42.3,45.5,4.6,31.1,24.8,1.4,42.2,13.0,3.4,1.3,24.9
AEE,66%,"4,055 (6%)","9,145 (14%)","16,395 (25%)","16,086 (25%)","19,714 (30%)","13,593 (29%)","6,751 (15%)","11,395 (25%)","6,194 (13%)","8,183 (18%)",88.8,90.5,96.2,90.3,90.6,96.5,79.1,98.9,98.4,95.6,92.2
AEP,39%,"2,489 (2.99%)","7,932 (9.52%)","17,287 (20.74%)","18,106 (21.72%)","37,546 (45.04%)","12,252 (21.17%)","6,778 (11.71%)","12,630 (21.82%)","9,318 (16.1%)","16,909 (29.21%)",37.9,39.6,11.2,37.1,32.1,2.1,15.1,6.5,26.5,3.7,10.9
AMGN,30%,"1,223 (3.05%)","1,137 (2.83%)","5,886 (14.66%)","12,463 (31.04%)","19,442 (48.42%)",998 (5%),745 (3.73%),"2,679 (13.41%)","2,377 (11.9%)","13,175 (65.96%)",63.0,63.1,61.9,62.5,63.3,71.6,65.9,68.0,63.2,80.7,81.6
ADI,13%,886 (1.94%),845 (1.85%),"10,026 (21.96%)","10,106 (22.14%)","23,794 (52.12%)",897 (3.84%),"1,228 (5.25%)","2,589 (11.07%)","2,719 (11.63%)","15,944 (68.2%)",24.3,18.7,13.6,17.2,19.0,1.9,4.9,5.4,0.2,0.8,28.1
ATO,44%,"4,493 (5.17%)","4,076 (4.69%)","11,269 (12.97%)","19,591 (22.55%)","47,432 (54.61%)","3,260 (5.97%)","3,770 (6.9%)","11,594 (21.22%)","10,065 (18.42%)","25,942 (47.49%)",70.9,70.9,74.9,71.1,71.2,93.9,62.8,73.4,71.9,70.1,73.4
ADSK,26%,"2,257 (4.56%)","1,047 (2.11%)","5,336 (10.77%)","11,518 (23.25%)","29,375 (59.31%)","2,086 (7.44%)","1,413 (5.04%)","3,567 (12.73%)","3,666 (13.08%)","17,292 (61.7%)",13.4,30.2,36.0,27.8,26.8,8.6,39.8,33.6,22.7,4.7,27.6
ADP,24%,"1,213 (2.36%)","1,118 (2.18%)","9,042 (17.6%)","8,329 (16.21%)","31,666 (61.64%)","1,028 (4.05%)","1,062 (4.18%)","2,412 (9.49%)","2,305 (9.07%)","18,596 (73.2%)",18.4,21.1,12.3,18.3,19.2,9.4,2.9,13.1,6.8,6.6,7.0
AZO,76%,"2,216 (5.17%)","5,110 (11.93%)","12,354 (28.83%)","9,536 (22.26%)","13,641 (31.84%)","8,225 (29.35%)","3,707 (13.23%)","6,362 (22.7%)","3,698 (13.19%)","6,035 (21.53%)",36.1,37.6,14.9,31.0,27.7,16.5,10.8,22.7,19.4,19.3,19.2
AVY,45%,"14,954 (9.37%)","8,687 (5.44%)","32,514 (20.36%)","42,345 (26.52%)","61,169 (38.31%)","9,807 (12.49%)","9,336 (11.89%)","14,597 (18.59%)","12,464 (15.87%)","32,329 (41.17%)",64.3,64.4,65.7,64.3,64.6,93.4,72.5,72.6,79.7,80.2,95.2
BKR,93%,"3,756 (15.89%)","3,350 (14.17%)","6,591 (27.89%)","7,077 (29.94%)","2,867 (12.13%)","2,291 (16.44%)","2,318 (16.64%)","4,283 (30.74%)","2,543 (18.25%)","2,498 (17.93%)",82.8,80.2,84.2,83.9,82.8,77.1,62.8,77.4,76.6,77.9,94.1
BLL,22%,707 (1.61%),"1,076 (2.45%)","7,145 (16.27%)","12,567 (28.62%)","22,420 (51.06%)","1,254 (4.92%)","1,181 (4.63%)","4,050 (15.88%)","4,751 (18.63%)","14,263 (55.94%)",34.9,26.4,27.9,35.3,37.2,3.5,48.5,35.6,21.3,18.6,29.4
BDX,12%,382 (1.33%),560 (1.95%),"5,136 (17.85%)","5,519 (19.18%)","17,177 (59.7%)",311 (2.17%),595 (4.15%),"1,229 (8.57%)","1,344 (9.37%)","10,864 (75.74%)",32.3,32.4,24.3,31.5,32.5,4.1,19.9,40.6,20.8,15.4,20.6
BBY,34%,"2,989 (4.94%)","3,304 (5.46%)","12,455 (20.57%)","18,661 (30.82%)","23,149 (38.23%)","2,720 (7.8%)","2,426 (6.96%)","8,106 (23.25%)","6,510 (18.67%)","15,110 (43.33%)",84.7,85.5,87.7,84.5,84.8,98.2,87.1,82.2,89.2,87.5,73.4
BIO,72%,"2,276 (5.37%)","2,175 (5.13%)","8,240 (19.44%)","15,246 (35.96%)","14,459 (34.1%)","1,022 (5.2%)",955 (4.86%),"2,921 (14.86%)","2,966 (15.09%)","11,789 (59.99%)",91.4,83.0,86.3,87.0,88.2,91.1,65.3,90.3,84.3,91.3,73.4
BIIB,39%,"19,827 (5.95%)","14,437 (4.33%)","42,127 (12.64%)","38,843 (11.65%)","218,071 (65.43%)","30,819 (15.12%)","13,768 (6.76%)","27,698 (13.59%)","26,092 (12.8%)","105,417 (51.73%)",63.8,64.5,73.8,65.3,68.0,73.8,81.0,87.5,68.3,95.2,85.4
BA,44%,"10,894 (3.84%)","8,914 (3.15%)","24,336 (8.59%)","38,452 (13.57%)","200,787 (70.86%)","21,422 (11.53%)","10,477 (5.64%)","20,925 (11.27%)","23,956 (12.9%)","108,955 (58.66%)",29.5,30.8,0.6,18.2,10.7,0.0,18.5,2.2,34.9,0.5,0.3
BWA,36%,834 (2%),"2,267 (6%)","7,374 (21%)","9,784 (28%)","14,976 (43%)","2,675 (13%)","1,955 (9%)","4,542 (21%)","3,596 (17%)","8,593 (40%)",54.7,54.9,48.9,55.3,55.4,21.2,35.6,53.1,47.8,36.8,31.3
BXP,45%,"21,599 (6.19%)","16,682 (4.78%)","49,142 (14.08%)","45,265 (12.97%)","216,367 (61.99%)","37,464 (17.64%)","15,731 (7.41%)","29,270 (13.78%)","25,673 (12.09%)","104,269 (49.09%)",40.3,38.6,9.7,30.3,27.1,0.0,41.5,5.9,31.8,0.4,16.4
BSX,21%,"1,702 (4.65%)","1,255 (3.43%)","10,165 (27.74%)","8,728 (23.82%)","14,788 (40.36%)",990 (5%),"1,345 (6.8%)","3,522 (17.8%)","3,274 (16.54%)","10,660 (53.86%)",21.5,15.2,10.5,14.1,16.7,8.6,0.4,7.8,12.8,3.1,23.8
CPB,57%,"13,386 (7.96%)","16,201 (9.64%)","44,126 (26.24%)","31,928 (18.99%)","62,510 (37.18%)","14,972 (16.01%)","9,456 (10.11%)","19,400 (20.74%)","14,499 (15.5%)","35,198 (37.63%)",87.6,87.5,92.2,86.6,87.4,96.3,97.4,94.6,99.4,94.4,89.8
CAH,24%,634 (1%),841 (2%),"5,856 (13%)","11,227 (24%)","27,903 (60%)","1,632 (6%)","1,722 (6%)","5,026 (18%)","5,517 (20%)","14,229 (51%)",18.1,20.2,13.2,23.1,22.7,3.9,62.8,34.1,28.8,10.8,9.4
CTLT,43%,"1,259 (3.31%)","1,674 (4.39%)","11,655 (30.6%)","8,744 (22.95%)","14,761 (38.75%)",993 (5.05%),"1,084 (5.51%)","3,278 (16.66%)","3,237 (16.45%)","11,083 (56.33%)",9.8,10.9,6.7,9.5,9.9,4.7,16.4,1.5,0.3,0.8,6.4
CAT,12%,480 (1.02%),596 (1.27%),"4,423 (9.4%)","7,612 (16.19%)","33,916 (72.12%)","1,055 (4.15%)",910 (3.58%),"2,870 (11.3%)","2,567 (10.11%)","17,995 (70.85%)",5.1,4.6,1.8,4.2,5.7,2.6,9.4,13.3,17.0,3.8,1.9
CNC,40%,997 (1.29%),"3,234 (4.19%)","10,403 (13.47%)","16,909 (21.9%)","45,663 (59.14%)","5,714 (11.54%)","4,301 (8.69%)","10,270 (20.74%)","7,765 (15.68%)","21,460 (43.34%)",28.1,28.3,7.2,23.9,22.4,7.0,11.4,8.4,24.6,5.7,14.5
CNP,66%,"14,434 (14%)","12,640 (12%)","19,895 (19%)","20,449 (19%)","38,833 (37%)","13,057 (20%)","7,913 (12%)","14,174 (22%)","9,442 (14%)","20,588 (32%)",77.3,73.8,88.1,78.7,78.8,90.5,79.9,90.2,94.9,85.2,96.7
CERN,28%,"1,258 (6.16%)","1,701 (8.33%)","7,753 (37.95%)","6,157 (30.14%)","3,566 (17.45%)","1,400 (11.72%)","1,393 (11.66%)","3,483 (29.16%)","2,519 (21.09%)","3,148 (26.36%)",60.1,60.2,62.0,59.9,59.9,60.7,66.2,62.5,69.8,67.2,84.2
SCHW,17%,263 (1.48%),439 (2.47%),"2,614 (14.71%)","4,599 (25.87%)","9,864 (55.49%)",319 (3.54%),242 (2.69%),788 (8.75%),"1,051 (11.67%)","6,604 (73.35%)",36.4,36.6,26.5,34.6,33.4,9.2,37.8,7.6,41.3,23.4,20.6
CVX,44%,,,,,,,,,,,32.3,41.4,40.3,39.1,36.8,3.4,49.4,50.5,38.3,19.8,73.4
CMG,32%,782 (1%),"1,338 (2%)","6,703 (9%)","17,809 (24%)","47,460 (64%)","4,678 (10%)","2,818 (6%)","6,664 (14%)","6,857 (15%)","25,765 (55%)",6.1,9.7,10.1,10.0,8.8,1.1,62.8,7.6,13.7,3.5,1.1
CINF,44%,"1,454 (3.23%)","2,707 (6.02%)","14,393 (32.01%)","13,751 (30.58%)","12,659 (28.15%)","2,062 (7.77%)","2,472 (9.32%)","6,428 (24.23%)","6,147 (23.17%)","9,425 (35.52%)",30.1,32.2,21.8,32.7,32.3,38.5,62.8,1.8,22.2,6.4,5.8
CSCO,,"2,456 (3.97%)","3,164 (5.11%)","8,302 (13.42%)","11,502 (18.59%)","36,450 (58.91%)","1,520 (5.13%)",948 (3.2%),"2,679 (9.04%)","2,404 (8.11%)","22,075 (74.51%)",66.9,65.8,67.8,66.2,67.5,59.1,62.8,58.2,58.2,58.2,73.4
C,45%,"40,510 (5.84%)","34,242 (4.94%)","77,616 (11.19%)","80,585 (11.62%)","460,363 (66.4%)","53,293 (12.36%)","28,685 (6.65%)","53,151 (12.33%)","44,373 (10.29%)","251,602 (58.36%)",30.6,34.4,0.8,22.3,14.6,0.7,2.7,29.5,10.1,0.1,11.0
CLX,67%,"14,310 (7.45%)","11,519 (5.99%)","24,546 (12.77%)","44,739 (23.28%)","97,040 (50.5%)","13,688 (12.79%)","8,641 (8.07%)","17,316 (16.18%)","15,422 (14.41%)","51,968 (48.55%)",90.9,80.7,93.1,84.6,87.3,99.8,81.0,90.9,97.9,95.8,73.4
CMS,26%,930 (2.84%),"3,436 (10.49%)","11,075 (33.83%)","11,563 (35.32%)","5,737 (17.52%)","3,777 (18.64%)","3,212 (15.85%)","5,989 (29.56%)","3,646 (18%)","3,637 (17.95%)",70.2,71.9,68.8,68.6,67.4,85.7,88.5,71.4,69.9,72.2,89.0
KO,56%,"2,025 (1.78%)","6,360 (5.58%)","15,878 (13.94%)","21,887 (19.21%)","67,759 (59.48%)","11,903 (15.73%)","6,549 (8.65%)","13,589 (17.96%)","11,960 (15.81%)","31,670 (41.85%)",94.1,93.4,97.2,97.3,96.4,97.8,80.7,91.3,71.7,95.3,73.4
CL,53%,"10,230 (6.52%)","12,594 (8.02%)","47,675 (30.37%)","36,246 (23.09%)","50,219 (31.99%)","12,964 (15.7%)","6,643 (8.05%)","14,109 (17.09%)","11,928 (14.45%)","36,923 (44.72%)",72.1,71.3,83.7,72.2,73.6,78.5,87.4,90.3,83.6,92.2,73.4
CMCSA,59%,"16,730 (5.01%)","30,846 (9.25%)","86,339 (25.88%)","57,595 (17.26%)","142,121 (42.6%)","40,397 (20.53%)","20,809 (10.57%)","38,462 (19.54%)","29,713 (15.1%)","67,420 (34.26%)",10.8,13.5,1.9,8.1,7.2,0.2,13.0,5.0,5.2,0.9,0.0
ED,40%,"42,667 (5.12%)","35,891 (4.31%)","89,620 (10.76%)","96,711 (11.61%)","567,890 (68.19%)","61,984 (11.75%)","35,587 (6.74%)","61,119 (11.58%)","54,152 (10.26%)","314,878 (59.67%)",30.2,33.6,0.9,19.2,11.8,1.4,12.7,17.8,11.5,0.0,1.0
GLW,9%,235 (1.93%),676 (5.55%),"3,507 (28.79%)","3,622 (29.73%)","4,145 (34.03%)","1,027 (13.23%)",802 (10.33%),"1,872 (24.11%)","1,491 (19.2%)","2,573 (33.14%)",39.6,36.0,31.3,40.8,41.3,5.1,6.7,48.1,31.0,6.0,18.2
COST,29%,797 (2%),703 (1.76%),"3,778 (9.46%)","8,219 (20.58%)","26,440 (66.21%)","1,118 (5.08%)",753 (3.42%),"2,195 (9.97%)","2,522 (11.45%)","15,433 (70.08%)",36.6,38.1,23.0,31.4,29.2,14.0,49.4,48.4,24.5,30.3,73.4
CSX,68%,"2,726 (5.25%)","6,686 (12.88%)","16,462 (31.71%)","13,668 (26.33%)","12,374 (23.84%)","7,502 (24.65%)","4,363 (14.34%)","8,053 (26.46%)","4,342 (14.27%)","6,170 (20.28%)",84.1,81.9,92.6,86.6,90.2,94.9,93.4,97.7,97.8,77.9,94.8
CMI,16%,873 (4%),"1,775 (8%)","7,471 (34%)","5,797 (26%)","6,046 (28%)","1,976 (15%)","1,684 (13%)","3,794 (28%)","2,416 (18%)","3,604 (27%)",59.4,59.5,60.1,59.2,59.1,66.8,69.0,66.0,65.3,62.0,74.7
CVS,21%,"3,983 (9%)","5,487 (13%)","13,982 (33%)","11,105 (26%)","8,251 (19%)","4,433 (18%)","2,781 (11%)","5,860 (23%)","4,542 (18%)","7,547 (30%)",37.0,31.9,25.6,32.6,34.6,15.1,6.6,1.9,14.0,5.0,11.7
DE,22%,"1,054 (3.8%)","1,764 (6.37%)","8,172 (29.5%)","9,834 (35.5%)","6,878 (24.83%)","2,128 (12.18%)","1,782 (10.2%)","4,670 (26.73%)","3,460 (19.81%)","5,428 (31.07%)",41.8,42.0,40.4,45.1,43.4,24.3,28.6,34.4,45.7,34.9,10.2
DAL,90%,"1,605 (4.78%)","3,029 (9.02%)","11,123 (33.12%)","10,034 (29.88%)","7,790 (23.2%)","3,517 (17.27%)","3,133 (15.38%)","6,395 (31.39%)","3,548 (17.42%)","3,777 (18.54%)",58.4,58.4,,,,59.1,62.8,58.2,58.2,58.2,73.4
DVN,66%,"6,262 (12.96%)","6,206 (12.84%)","12,588 (26.05%)","12,000 (24.83%)","11,266 (23.31%)","6,575 (23.51%)","3,497 (12.5%)","7,699 (27.53%)","4,331 (15.49%)","5,865 (20.97%)",61.5,61.9,66.7,61.7,62.0,69.4,73.1,65.0,64.5,68.7,76.6
DXCM,59%,"1,437 (2.82%)","1,290 (2.54%)","5,033 (9.89%)","10,960 (21.54%)","32,147 (63.19%)","1,966 (7.59%)",915 (3.53%),"2,920 (11.27%)","2,857 (11.03%)","17,244 (66.57%)",29.3,32.5,31.6,29.1,28.9,24.3,62.8,42.6,43.7,1.0,22.3
DISH,19%,255 (.84%),442 (1.46%),"3,185 (10.53%)","7,588 (25.08%)","18,786 (62.1%)",568 (3.24%),525 (3%),"1,948 (11.12%)","2,585 (14.76%)","11,886 (67.87%)",51.3,47.4,38.3,51.7,50.5,11.0,51.2,49.8,43.5,38.7,19.7
DLTR,50%,"1,284 (2.36%)","2,952 (5.41%)","12,673 (23.25%)","18,874 (34.62%)","18,734 (34.36%)","2,467 (7.91%)","2,242 (7.19%)","6,205 (19.9%)","6,365 (20.41%)","13,905 (44.59%)",40.8,39.5,33.1,38.8,39.0,18.5,44.6,25.0,20.2,14.6,73.4
D,64%,"3,313 (3.82%)","9,083 (10.47%)","19,039 (21.94%)","21,218 (24.45%)","34,134 (39.33%)","11,790 (22.4%)","5,705 (10.84%)","12,730 (24.18%)","8,388 (15.94%)","14,025 (26.64%)",65.8,66.0,69.4,67.0,67.0,87.1,81.2,80.5,70.6,79.4,87.7
DPZ,41%,103 (.59%),322 (1.86%),934 (5.38%),"1,917 (11.05%)","14,084 (81.15%)","1,691 (14.48%)",831 (7.11%),"2,030 (17.38%)","1,491 (12.77%)","5,637 (48.26%)",44.4,44.4,35.9,46.5,46.5,6.9,45.5,48.2,40.1,26.2,13.0
