ticker,minority_pct,primary_school,high_school,hs_diploma,some_college,bsba,income_l15,income_15_25,income_25_50,income_50_75,income_p75,pm25,ozone,nata_dieselpm,nata_cancerrisk,nata_resphi,traffic_prox,lead_paint,rmp_prox,superfund_prox,hazardwaste_prox,waterdischarge_prox
NWL,39%,"1,464 (2%)",947 (2%),"6,871 (12%)","11,706 (20%)","38,360 (65%)","2,918 (8%)","2,778 (7%)","8,231 (21%)","6,671 (17%)","18,020 (47%)",59.2,59.1,59.7,59.2,59.2,66.2,62.9,58.9,58.5,61.5,78.6
NKE,33%,"5,204 (4.93%)","4,801 (4.55%)","17,897 (16.97%)","31,142 (29.53%)","46,421 (44.02%)","4,140 (7.1%)","3,949 (6.77%)","11,787 (20.21%)","11,029 (18.91%)","27,430 (47.02%)",78.3,74.9,80.9,77.8,78.6,89.1,77.1,69.1,80.0,82.9,88.9
NSC,69%,"2,791 (3.98%)","8,198 (11.69%)","18,498 (26.37%)","22,794 (32.5%)","17,848 (25.45%)","8,647 (20.24%)","5,606 (13.13%)","10,349 (24.23%)","7,103 (16.63%)","11,007 (25.77%)",18.7,17.5,5.9,15.9,14.3,1.0,11.3,5.3,0.4,2.2,9.4
NOC,50%,"6,270 (6.21%)","4,013 (3.97%)","12,775 (12.65%)","17,061 (16.89%)","60,895 (60.29%)","2,788 (5.38%)","1,502 (2.9%)","5,756 (11.12%)","6,221 (12.01%)","35,515 (68.59%)",41.7,42.3,16.6,38.0,34.9,1.8,62.8,50.1,38.4,13.1,73.4
NRG,44%,544 (2%),545 (2%),"1,920 (7%)","3,435 (12%)","21,121 (77%)","1,118 (7%)",692 (5%),"1,594 (11%)","1,910 (13%)","9,794 (65%)",83.8,85.1,87.1,82.8,82.6,73.7,79.3,70.1,86.5,80.0,88.9
NVDA,66%,,,,,,,,,,,86.6,84.4,84.2,85.6,87.7,88.8,81.4,93.2,99.5,98.6,81.9
ORLY,14%,849 (2.06%),"2,660 (6.44%)","11,251 (27.24%)","13,758 (33.31%)","12,782 (30.95%)","7,265 (23.82%)","4,265 (13.98%)","8,619 (28.26%)","4,527 (14.84%)","5,823 (19.09%)",76.3,77.3,76.2,76.6,76.4,77.3,81.7,92.7,81.4,85.6,90.2
ODFL,41%,"1,755 (9.26%)","2,463 (12.99%)","6,598 (34.8%)","5,464 (28.82%)","2,684 (14.16%)","1,989 (17.53%)","1,455 (12.82%)","3,753 (33.07%)","2,097 (18.48%)","2,055 (18.11%)",83.4,85.5,79.5,85.6,84.3,81.3,80.8,87.9,71.3,90.1,88.8
OKE,49%,"2,264 (5.1%)","3,872 (8.72%)","10,603 (23.87%)","12,776 (28.76%)","14,913 (33.57%)","6,207 (21.37%)","3,907 (13.45%)","6,990 (24.07%)","4,595 (15.82%)","7,344 (25.29%)",54.5,54.9,49.0,53.7,53.6,19.0,41.4,17.5,53.7,13.8,14.9
ORCL,65%,"8,067 (8.92%)","5,884 (6.51%)","15,499 (17.15%)","19,055 (21.08%)","41,886 (46.34%)","8,088 (14.47%)","5,274 (9.44%)","12,358 (22.11%)","9,864 (17.65%)","20,314 (36.34%)",81.2,79.6,83.4,79.7,79.1,73.7,62.8,89.6,67.1,83.7,78.9
PAYX,9%,911 (2%),"1,404 (4%)","7,212 (19%)","9,869 (26%)","19,261 (50%)","1,609 (7%)","1,961 (9%)","5,075 (22%)","4,380 (19%)","9,653 (43%)",52.6,51.4,44.5,52.5,52.8,19.2,41.0,50.6,50.7,49.2,73.4
PEP,36%,"3,374 (8.84%)","2,039 (5.34%)","7,557 (19.8%)","6,645 (17.41%)","18,562 (48.63%)",919 (5%),"1,016 (5.53%)","2,085 (11.35%)","2,388 (13%)","11,963 (65.12%)",40.2,38.2,24.5,37.2,36.7,15.9,28.9,41.1,36.0,27.1,32.9
PKI,28%,795 (2.3%),653 (1.89%),"5,353 (15.49%)","5,830 (16.88%)","21,919 (63.45%)","1,387 (7.47%)",802 (4.32%),"2,107 (11.34%)","2,433 (13.1%)","11,844 (63.77%)",42.5,39.4,30.5,37.5,38.5,4.1,18.5,41.0,24.0,7.4,25.1
PFE,75%,"54,399 (6.59%)","68,203 (8.26%)","224,118 (27.15%)","185,296 (22.44%)","293,547 (35.56%)","73,292 (16.34%)","41,428 (9.24%)","90,530 (20.19%)","68,421 (15.26%)","174,802 (38.98%)",71.8,71.4,88.4,74.9,77.4,78.6,87.8,68.2,83.3,98.1,73.4
PSX,70%,"16,754 (12.37%)","9,099 (6.72%)","25,515 (18.84%)","32,224 (23.8%)","51,806 (38.26%)","11,774 (14.16%)","11,058 (13.29%)","22,762 (27.37%)","12,271 (14.75%)","25,311 (30.43%)",80.2,76.7,86.4,81.3,79.6,82.6,62.8,77.2,94.9,77.5,92.7
PXD,67%,"4,905 (8.74%)","3,885 (6.92%)","9,345 (16.65%)","12,038 (21.45%)","25,959 (46.25%)","2,125 (6.4%)","2,519 (7.59%)","7,305 (22.01%)","6,813 (20.53%)","14,426 (43.47%)",47.6,48.4,33.9,45.6,45.1,12.6,62.8,24.3,38.0,34.0,6.5
POOL,14%,494 (2.36%),"1,040 (4.96%)","4,777 (22.8%)","6,249 (29.83%)","8,385 (40.03%)",995 (8.73%),853 (7.49%),"2,108 (18.5%)","1,774 (15.57%)","5,666 (49.72%)",3.2,5.4,2.2,1.4,1.5,1.5,34.4,23.4,5.2,8.8,4.0
PPG,35%,"2,471 (2.65%)","6,182 (6.62%)","27,727 (29.71%)","24,057 (25.78%)","32,895 (35.25%)","13,689 (21.29%)","8,477 (13.19%)","14,693 (22.86%)","10,082 (15.68%)","17,343 (26.98%)",17.3,22.1,3.4,14.3,17.8,0.3,4.3,23.7,22.0,4.8,5.0
PPL,20%,"1,301 (4.27%)","1,872 (6.14%)","9,825 (32.21%)","6,935 (22.74%)","10,566 (34.64%)","1,299 (7.8%)","1,387 (8.32%)","2,849 (17.1%)","3,241 (19.45%)","7,885 (47.33%)",6.5,8.3,7.2,7.2,8.7,19.9,8.6,0.4,0.0,3.5,3.7
PGR,24%,629 (2%),"1,071 (3.41%)","7,984 (25.43%)","8,092 (25.77%)","13,626 (43.39%)","1,665 (8.49%)","2,141 (10.92%)","4,319 (22.02%)","3,461 (17.65%)","8,024 (40.92%)",37.8,38.5,35.3,43.1,43.2,21.8,22.6,44.6,41.0,15.7,10.9
PRU,84%,"31,707 (15%)","33,123 (15%)","76,360 (35%)","46,182 (21%)","29,129 (13%)","25,330 (22%)","14,516 (12%)","31,068 (27%)","20,229 (17%)","25,119 (22%)",75.3,74.1,84.2,76.1,76.7,91.4,91.3,92.2,98.2,95.1,93.3
QRVO,43%,438 (2.95%),341 (2.3%),"2,684 (18.07%)","4,739 (31.91%)","6,655 (44.81%)",746 (8.06%),930 (10.05%),"2,288 (24.71%)","1,819 (19.65%)","3,475 (37.54%)",5.3,4.6,7.5,3.5,2.4,27.6,22.3,8.7,32.4,1.7,73.4
QCOM,57%,981 (2%),"1,177 (3%)","4,853 (11%)","10,167 (23%)","27,293 (61%)","2,787 (11%)","1,404 (5%)","3,493 (14%)","3,386 (13%)","14,625 (57%)",29.3,32.5,31.6,29.1,28.9,24.3,62.8,42.6,43.7,1.0,22.3
REGN,48%,"2,969 (7.64%)","2,270 (5.84%)","7,621 (19.61%)","8,144 (20.96%)","17,845 (45.93%)","1,103 (5.77%)","1,264 (6.62%)","2,681 (14.04%)","2,432 (12.73%)","11,620 (60.84%)",89.9,92.4,92.9,90.5,89.6,88.9,93.5,81.3,83.1,95.7,81.6
RMD,46%,"2,152 (3.26%)","1,997 (3.03%)","10,848 (16.44%)","22,038 (33.39%)","28,962 (43.88%)","2,991 (8.42%)","1,643 (4.62%)","5,913 (16.64%)","6,132 (17.26%)","18,851 (53.06%)",57.7,57.8,57.0,57.4,57.4,30.0,51.3,55.8,57.9,36.7,19.8
ROK,62%,"12,087 (10.51%)","14,859 (12.92%)","30,618 (26.62%)","26,848 (23.34%)","30,622 (26.62%)","16,322 (22.16%)","10,014 (13.6%)","18,489 (25.1%)","12,278 (16.67%)","16,556 (22.48%)",64.6,65.5,69.8,64.2,64.2,91.5,81.5,86.6,66.8,81.9,90.4
ROL,33%,"2,433 (2.22%)","2,476 (2.25%)","8,778 (7.99%)","14,531 (13.23%)","81,595 (74.3%)","6,214 (8.41%)","3,833 (5.19%)","11,389 (15.42%)","12,642 (17.11%)","39,789 (53.87%)",66.9,66.1,74.3,69.7,69.5,91.5,70.5,74.5,61.0,79.5,80.0
SRE,48%,"8,838 (6.36%)","7,371 (5.3%)","18,028 (12.97%)","35,656 (25.66%)","69,085 (49.71%)","9,135 (11.13%)","6,571 (8.01%)","15,544 (18.95%)","13,809 (16.83%)","36,987 (45.08%)",95.3,94.6,95.7,96.5,96.8,99.2,62.8,97.5,75.1,98.9,73.4
SHW,66%,"4,057 (7.61%)","8,976 (16.83%)","14,243 (26.71%)","13,181 (24.72%)","12,869 (24.14%)","12,315 (34.4%)","5,160 (14.41%)","7,283 (20.34%)","4,607 (12.87%)","6,436 (17.98%)",65.6,65.2,70.8,64.3,64.5,85.7,80.8,79.6,62.5,86.6,96.5
SNA,31%,"2,129 (4.16%)","3,985 (7.79%)","16,619 (32.5%)","17,119 (33.48%)","11,280 (22.06%)","3,486 (12.04%)","3,240 (11.19%)","7,128 (24.62%)","5,397 (18.64%)","9,706 (33.52%)",50.3,48.4,42.2,50.9,51.6,24.5,37.7,18.9,43.8,44.2,73.4
SO,56%,"2,207 (1.88%)","6,641 (5.66%)","16,934 (14.43%)","22,618 (19.27%)","68,993 (58.78%)","12,222 (15.91%)","6,521 (8.49%)","13,801 (17.97%)","11,607 (15.11%)","32,653 (42.51%)",75.9,74.6,87.7,82.0,81.2,98.3,70.0,82.7,64.1,87.3,73.4
LUV,70%,"11,947 (19.15%)","7,103 (11.38%)","11,441 (18.34%)","10,282 (16.48%)","21,616 (34.64%)","3,362 (9.56%)","3,691 (10.49%)","8,550 (24.3%)","6,604 (18.77%)","12,972 (36.87%)",59.6,59.6,61.2,59.6,59.8,65.6,62.8,68.7,62.5,67.6,84.9
STT,46%,"22,630 (8.1%)","15,182 (5.44%)","43,406 (15.55%)","36,744 (13.16%)","161,254 (57.75%)","28,881 (17.09%)","12,781 (7.56%)","23,844 (14.11%)","20,898 (12.36%)","82,638 (48.89%)",51.3,50.5,21.8,46.1,43.2,0.7,33.3,16.1,42.6,0.8,20.6
SYK,11%,250 (1.61%),683 (4.38%),"3,937 (25.28%)","5,577 (35.81%)","5,128 (32.92%)",811 (8.36%),"1,053 (10.86%)","2,393 (24.68%)","1,987 (20.49%)","3,452 (35.6%)",15.2,13.5,22.2,20.3,19.1,16.6,13.8,6.7,1.4,3.0,13.6
SIVB,73%,,,,,,,,,,,77.7,75.2,76.0,76.8,79.2,85.8,78.4,92.1,99.5,96.9,89.7
SNPS,62%,,,,,,,,,,,65.9,64.4,65.4,64.8,66.3,75.5,69.1,64.6,99.3,82.0,93.6
SYY,54%,"2,291 (3%)","2,702 (4%)","11,183 (15%)","20,307 (27%)","39,749 (52%)","4,174 (9%)","4,354 (9%)","11,318 (24%)","7,869 (16%)","20,236 (42%)",69.2,67.2,74.1,71.5,68.6,75.8,64.9,70.3,77.6,67.0,96.3
TMUS,40%,"1,619 (2%)","1,918 (3%)","8,910 (12%)","17,629 (24%)","43,124 (59%)","3,307 (7%)","2,713 (6%)","7,611 (17%)","7,862 (18%)","23,403 (52%)",39.3,42.5,14.4,30.0,27.5,15.1,40.3,9.2,27.5,10.3,73.4
TGT,48%,"10,959 (8%)","10,598 (8%)","27,105 (20%)","32,084 (24%)","54,079 (40%)","23,513 (24%)","13,382 (14%)","25,046 (25%)","15,109 (15%)","21,435 (22%)",52.8,53.2,34.0,51.1,49.8,14.4,37.9,25.0,14.6,7.9,26.6
TER,7%,425 (1.33%),660 (2.06%),"7,248 (22.63%)","7,138 (22.28%)","16,571 (51.73%)",554 (3.44%),773 (4.8%),"1,598 (9.91%)","1,869 (11.6%)","11,323 (70.26%)",13.4,8.8,8.5,8.7,10.2,10.7,1.5,11.5,3.0,2.7,29.0
TSLA,44%,"1,337 (2.34%)",967 (1.69%),"3,192 (5.59%)","6,134 (10.75%)","45,450 (79.62%)","2,263 (7.16%)","1,453 (4.59%)","3,260 (10.31%)","2,523 (7.98%)","22,127 (69.96%)",39.0,45.4,46.8,42.4,38.2,14.7,18.6,42.9,1.4,2.9,13.0
TXN,62%,"10,668 (9.41%)","7,949 (7.01%)","19,742 (17.42%)","29,448 (25.99%)","45,513 (40.16%)","7,054 (10.07%)","8,835 (12.61%)","19,200 (27.41%)","11,392 (16.27%)","23,555 (33.63%)",76.6,76.5,81.8,76.6,77.3,78.7,63.9,91.0,74.8,80.4,94.5
TXT,56%,"13,615 (9.99%)","12,643 (9.28%)","40,313 (29.59%)","30,274 (22.22%)","39,379 (28.91%)","15,198 (19.58%)","8,709 (11.22%)","17,321 (22.31%)","13,692 (17.64%)","22,704 (29.25%)",56.5,56.0,47.1,55.8,55.6,5.6,32.0,27.0,47.4,13.9,10.7
HSY,15%,224 (1.09%),605 (2.95%),"4,316 (21.03%)","4,951 (24.12%)","10,433 (50.83%)",763 (6.38%),737 (6.16%),"2,369 (19.8%)","2,137 (17.86%)","5,961 (49.81%)",44.7,47.9,41.6,46.5,47.0,12.7,39.2,10.4,40.3,34.8,26.5
DIS,42%,"7,012 (5.22%)","6,368 (4.74%)","22,199 (16.54%)","40,042 (29.83%)","58,619 (43.67%)","8,751 (11.56%)","6,745 (8.91%)","12,887 (17.03%)","12,062 (15.94%)","35,244 (46.56%)",59.2,59.2,59.4,59.0,59.1,76.5,66.5,63.1,64.5,67.3,94.4
TJX,27%,"1,537 (2.99%)","1,649 (3.21%)","9,693 (18.87%)","9,149 (17.81%)","29,337 (57.12%)","2,011 (7.13%)","1,738 (6.16%)","4,393 (15.57%)","3,371 (11.94%)","16,710 (59.21%)",28.7,23.5,18.6,22.7,25.1,2.2,5.5,5.2,6.0,9.7,20.0
TSCO,8%,103 (.68%),117 (.77%),"1,140 (7.47%)","2,552 (16.73%)","11,348 (74.38%)",279 (3.34%),271 (3.24%),"1,048 (12.55%)",877 (10.5%),"5,877 (70.37%)",5.2,6.4,3.7,4.4,4.0,10.9,38.3,29.2,30.3,34.7,73.4
TRMB,69%,,,,,,,,,,,86.6,83.9,84.2,85.5,88.0,96.6,86.0,85.2,99.9,97.3,95.6
TYL,37%,573 (1%),"1,039 (2%)","5,744 (9%)","13,459 (22%)","41,240 (66%)","1,346 (4%)","1,612 (4%)","5,320 (15%)","5,781 (16%)","22,412 (61%)",38.7,39.8,24.8,37.4,36.7,15.2,62.8,44.5,44.2,23.2,73.4
TSN,43%,"4,062 (12%)","3,982 (11.76%)","8,900 (26.29%)","8,329 (24.6%)","8,573 (25.32%)","1,964 (9.89%)","2,249 (11.33%)","6,342 (31.95%)","4,113 (20.72%)","5,184 (26.11%)",9.8,12.0,9.3,9.0,8.6,24.2,46.4,2.5,40.2,3.7,73.4
UNP,45%,"6,211 (10%)","7,002 (11%)","19,630 (31%)","18,291 (29%)","13,000 (20%)","10,129 (24%)","6,359 (15%)","13,075 (31%)","6,574 (16%)","6,153 (15%)",25.2,28.4,10.4,28.4,25.5,3.6,5.8,0.1,1.6,10.7,24.5
UPS,39%,"1,821 (2.57%)","1,294 (1.82%)","8,284 (11.68%)","11,883 (16.76%)","47,637 (67.17%)","2,194 (5.11%)","2,409 (5.61%)","7,550 (17.59%)","7,944 (18.51%)","22,828 (53.18%)",59.2,59.1,59.7,59.2,59.2,66.2,62.9,58.9,58.5,61.5,78.6
VLO,56%,"1,148 (2.81%)",864 (2.11%),"5,332 (13.04%)","13,529 (33.08%)","20,038 (48.99%)","2,891 (11.58%)","1,822 (7.3%)","4,633 (18.55%)","4,217 (16.88%)","11,413 (45.7%)",98.5,98.6,95.2,98.1,97.2,79.3,62.8,78.3,95.6,92.4,89.7
VRSN,46%,"3,534 (3.99%)","2,740 (3.1%)","10,521 (11.89%)","14,362 (16.23%)","57,354 (64.8%)","1,603 (3.39%)","1,563 (3.3%)","4,172 (8.82%)","5,282 (11.17%)","34,673 (73.32%)",24.5,24.7,9.9,21.5,21.4,2.1,62.8,26.1,20.0,6.3,6.7
VRTX,46%,"20,836 (8.9%)","13,107 (5.6%)","38,207 (16.31%)","31,071 (13.27%)","130,980 (55.93%)","24,475 (17.24%)","10,826 (7.63%)","19,878 (14%)","17,244 (12.15%)","69,538 (48.98%)",5.9,4.6,0.1,2.7,2.0,0.1,2.0,1.1,11.4,0.2,17.1
WMT,31%,"2,363 (7.9%)","2,005 (6.7%)","8,249 (27.58%)","7,375 (24.66%)","9,913 (33.15%)","1,969 (10.89%)","1,885 (10.42%)","4,534 (25.07%)","3,386 (18.72%)","6,310 (34.89%)",73.3,72.9,74.5,73.2,73.1,83.9,66.8,83.5,65.9,88.0,84.3
WM,64%,"13,640 (13%)","12,050 (11%)","19,164 (18%)","20,729 (19%)","41,666 (39%)","13,041 (20%)","7,804 (12%)","14,264 (21%)","9,555 (14%)","21,860 (33%)",29.0,37.5,6.3,24.0,22.4,4.7,4.9,3.1,3.1,3.3,2.4
WAT,15%,970 (3.92%),"1,293 (5.22%)","6,083 (24.58%)","6,775 (27.37%)","9,628 (38.9%)",892 (6.65%),938 (7%),"1,991 (14.85%)","1,763 (13.15%)","7,823 (58.35%)",10.6,6.9,12.8,9.1,9.9,1.2,3.4,2.7,7.4,1.1,15.7
WFC,49%,"18,591 (6.11%)","12,060 (3.96%)","31,151 (10.24%)","48,136 (15.82%)","194,404 (63.88%)","24,098 (13.22%)","13,114 (7.2%)","20,813 (11.42%)","15,927 (8.74%)","108,286 (59.42%)",73.1,66.7,89.2,72.4,75.5,97.1,87.3,68.3,80.8,93.8,73.4
WST,16%,207 (.94%),347 (1.57%),"2,868 (12.97%)","4,154 (18.79%)","14,533 (65.74%)",416 (3.49%),486 (4.07%),"1,274 (10.68%)","1,343 (11.26%)","8,410 (70.5%)",5.9,8.2,5.7,8.2,9.3,1.4,40.7,23.4,2.0,20.7,73.4
WDC,65%,"3,207 (5.74%)","3,336 (5.97%)","9,350 (16.74%)","16,534 (29.59%)","23,447 (41.97%)","1,189 (4.63%)",904 (3.52%),"3,020 (11.76%)","3,038 (11.83%)","17,536 (68.27%)",56.8,56.7,56.1,56.5,56.3,40.6,62.8,55.3,27.0,37.2,73.4
WHR,60%,935 (4.87%),"2,280 (11.88%)","5,458 (28.45%)","5,994 (31.24%)","4,517 (23.54%)","2,939 (23.18%)","1,784 (14.07%)","3,344 (26.38%)","1,927 (15.2%)","2,683 (21.16%)",88.2,92.6,82.2,84.5,81.9,86.1,90.0,98.3,98.5,89.6,93.7
XEL,49%,"10,908 (8%)","10,429 (8%)","27,066 (21%)","31,592 (24%)","50,520 (39%)","23,438 (24%)","13,408 (14%)","24,386 (25%)","14,420 (15%)","20,094 (21%)",79.9,79.8,90.4,81.2,82.1,92.6,83.4,90.9,96.9,95.4,86.7
XLNX,36%,"3,231 (3%)","4,042 (4%)","16,271 (15%)","30,730 (29%)","50,887 (48%)","3,093 (5%)","3,220 (6%)","8,503 (15%)","7,998 (14%)","34,982 (61%)",38.2,40.7,38.6,35.8,31.0,1.0,62.8,46.9,25.3,6.1,73.4
YUM,35%,"2,857 (6.06%)","4,121 (8.74%)","14,296 (30.31%)","14,062 (29.82%)","11,828 (25.08%)","4,375 (15.38%)","4,040 (14.2%)","7,932 (27.89%)","4,883 (17.17%)","7,215 (25.36%)",58.4,58.4,,,,59.1,62.8,58.2,58.2,58.2,73.4
ZTS,34%,"1,287 (3%)","1,747 (4%)","9,285 (22%)","8,517 (20%)","20,780 (50%)",677 (3%),"1,148 (5%)","3,190 (15%)","3,457 (16%)","13,128 (61%)",47.1,47.6,33.1,46.1,45.8,38.4,27.1,52.2,28.9,16.7,28.7
