Ticker,Total,Environmental,Social,Governance,Controversy
MMM,35,13,14,8,3
AOS,25,7,12,6,2
ABT,26,3,14,9,3
ABBV,27,1,17,10,3
ABMD,,,,,
ACN,11,1,5,5,2
ATVI,16,0,10,6,2
ADM,34,16,14,5,3
ADBE,11,0,6,5,1
AAP,13,0,9,3,2
AMD,,,,,
AES,35,21,8,6,2
AFL,23,2,8,13,2
A,17,1,9,6,2
APD,11,6,1,4,1
AKAM,20,2,10,8,1
ALK,,,,,
ALB,37,19,9,9,1
ARE,15,3,6,6,0
ALGN,,,,,
ALLE,23,12,4,7,0
LNT,22,10,6,7,1
ALL,21,2,8,11,2
GOOGL,23,0,11,12,4
GOOG,,,,,
MO,24,5,13,7,2
AMZN,31,7,15,10,3
AMCR,,,,,
AEE,29,16,8,6,2
AAL,30,12,13,5,2
AEP,35,20,10,5,2
AXP,20,0,11,9,2
AIG,27,2,11,15,2
AMT,12,4,4,5,0
AWK,28,13,9,5,2
AMP,23,3,8,12,2
ABC,13,1,6,6,3
AME,26,8,10,8,1
AMGN,19,0,13,6,2
APH,22,8,6,8,2
ADI,24,9,8,7,0
ANSS,15,1,9,5,0
ANTM,12,0,6,6,2
AON,,,,,
APA,39,22,9,8,2
AAPL,17,0,8,9,3
AMAT,12,4,3,5,0
APTV,13,4,5,5,1
ANET,18,0,9,8,2
AJG,22,0,9,12,2
AIZ,24,2,10,13,3
T,19,2,11,6,3
ATO,32,13,12,7,2
ADSK,15,1,9,5,0
ADP,14,1,7,5,1
AZO,11,0,7,4,2
AVB,10,3,3,4,0
AVY,18,12,2,4,1
BKR,,,,,
BLL,14,9,1,4,1
BAC,27,2,14,11,3
BBWI,16,2,8,6,2
BAX,27,3,16,9,2
BDX,29,4,16,9,3
BRK.B,,,,,
BBY,14,2,7,5,2
BIO,21,1,12,7,2
TECH,,,,,
BIIB,21,0,13,8,2
BLK,21,1,10,10,2
BK,23,2,10,11,3
BA,36,8,20,8,4
BKNG,20,4,10,6,2
BWA,13,3,4,7,2
BXP,14,4,5,5,1
BSX,29,3,15,10,2
BMY,23,0,15,8,2
AVGO,25,9,9,8,3
BR,16,1,9,7,2
BF.B,,,,,
CHRW,20,5,9,6,1
COG,47,23,14,9,2
CDNS,13,1,7,5,0
CZR,,,,,
CPB,22,10,8,5,2
COF,23,0,13,10,4
CAH,12,2,5,4,3
KMX,12,0,8,4,1
CCL,24,10,10,4,3
CARR,,,,,
CTLT,,,,,
CAT,34,7,18,9,4
CBOE,19,3,7,9,2
CBRE,7,1,2,3,1
CDW,9,2,3,3,0
CE,31,15,8,7,2
CNC,22,0,16,7,2
CNP,35,18,12,6,2
CERN,20,0,13,7,2
CF,33,19,9,5,2
CRL,,,,,
SCHW,24,2,10,12,2
CHTR,26,6,13,8,2
CVX,41,20,11,10,3
CMG,24,5,14,5,3
CB,24,2,11,11,2
CHD,22,8,8,7,2
CI,12,0,6,6,2
CINF,24,2,9,14,1
CTAS,21,5,10,7,2
CSCO,11,0,6,6,2
C,25,2,11,13,4
CFG,22,2,10,10,2
CTXS,15,1,8,6,2
CLX,22,8,8,6,2
CME,15,2,6,6,1
CMS,24,12,7,5,2
KO,25,9,11,5,3
CTSH,18,1,10,6,2
CL,21,7,9,5,3
CMCSA,25,5,12,8,2
CMA,27,2,13,12,2
CAG,33,12,16,5,2
COP,36,19,10,7,2
ED,25,5,14,7,3
STZ,23,9,9,5,2
CPRT,23,4,12,7,1
GLW,20,8,5,7,2
CTVA,,,,,
COST,23,6,11,6,3
CCI,13,5,3,5,0
CSX,18,6,9,4,3
CMI,19,6,8,6,2
CVS,23,0,16,6,3
DHI,23,9,7,6,2
DHR,18,1,10,7,2
DRI,26,8,13,5,2
DVA,21,0,13,9,2
DE,17,4,9,4,2
DAL,26,9,12,5,2
XRAY,20,3,10,7,1
DVN,32,16,8,8,2
DXCM,27,6,13,8,2
FANG,,,,,
DLR,13,3,4,6,1
DFS,21,0,11,10,1
DISCA,17,0,9,8,1
DISCK,,,,,
DISH,23,2,11,10,3
DG,17,3,8,5,2
DLTR,18,3,9,6,2
D,28,13,9,6,2
DPZ,27,5,15,7,2
DOV,28,8,14,6,1
DOW,,,,,
DTE,25,13,7,5,2
DUK,29,15,8,5,3
DRE,13,5,4,5,0
DD,30,14,9,7,3
DXC,14,1,7,6,2
EMN,25,12,5,8,2
ETN,17,5,7,6,1
EBAY,17,1,9,6,2
ECL,24,9,8,6,2
EIX,27,10,11,6,3
EW,19,2,9,8,2
EA,12,0,7,5,2
LLY,29,2,17,10,2
EMR,31,10,14,7,2
ENPH,,,,,
ETR,34,19,8,7,2
EOG,39,20,11,8,1
EFX,24,0,17,7,4
EQIX,15,3,6,6,1
EQR,11,3,3,5,0
ESS,13,4,3,6,0
EL,24,7,9,8,2
ETSY,,,,,
RE,18,1,7,10,1
EVRG,,,,,
ES,22,6,10,6,2
EXC,25,10,9,7,3
EXPE,26,2,14,9,2
EXPD,19,4,9,5,0
EXR,14,4,4,6,1
XOM,36,17,11,8,3
FFIV,19,1,12,5,1
FB,28,1,17,10,4
FAST,25,9,9,7,2
FRT,12,2,4,6,1
FDX,21,5,10,6,2
FIS,18,1,11,6,1
FITB,19,1,8,9,2
FRC,25,2,12,12,1
FE,35,17,10,7,3
FISV,18,1,11,6,2
FLT,18,1,10,7,2
FMC,39,18,14,7,2
F,31,9,12,10,3
FTNT,20,1,12,6,2
FTV,35,16,14,6,2
FBHS,25,14,4,7,0
FOXA,,,,,
FOX,,,,,
BEN,19,1,9,9,2
FCX,34,18,11,5,4
GPS,15,1,8,6,3
GRMN,19,6,9,5,2
IT,24,0,17,6,1
GNRC,,,,,
GD,37,9,20,8,3
GE,43,16,16,12,3
GIS,21,8,9,4,2
GM,31,10,13,8,4
GPC,13,4,5,4,2
GILD,22,0,14,8,2
GPN,19,1,11,7,2
GL,21,2,8,11,1
GS,25,1,13,11,3
HAL,24,8,10,7,2
HBI,14,1,7,5,2
HAS,10,0,5,5,2
HCA,26,3,16,7,2
PEAK,11,3,3,4,2
HSIC,13,2,6,6,2
HES,30,16,6,7,2
HPE,12,1,5,6,2
HLT,20,8,8,4,2
HOLX,30,4,14,12,2
HD,11,3,5,4,2
HON,31,10,12,9,3
HRL,29,12,11,6,3
HST,14,4,6,5,1
HWM,,,,,
HPQ,10,0,5,5,2
HUM,23,0,17,5,2
HBAN,21,2,11,8,2
HII,,,,,
IBM,15,0,7,7,2
IEX,27,8,13,6,0
IDXX,21,4,7,10,0
INFO,24,0,16,8,1
ITW,20,4,9,6,2
ILMN,11,1,4,7,3
INCY,26,0,18,8,1
IR,,,,,
INTC,17,4,6,7,3
ICE,16,2,7,7,3
IFF,23,10,6,7,2
IP,25,15,5,5,3
IPG,15,0,9,6,2
INTU,17,1,10,6,2
ISRG,30,5,14,11,1
IVZ,25,2,13,10,1
IPGP,12,3,4,5,0
IQV,19,1,11,7,2
IRM,15,5,4,6,2
JBHT,14,3,6,5,1
JKHY,16,1,10,5,0
J,25,4,14,8,3
SJM,27,11,10,6,2
JNJ,29,1,20,8,4
JCI,13,6,3,5,3
JPM,28,1,16,11,3
JNPR,17,0,9,7,2
KSU,24,9,10,4,2
K,27,7,15,5,2
KEY,24,2,11,11,1
KEYS,9,2,2,5,1
KMB,22,8,8,6,2
KIM,13,4,4,5,0
KMI,18,9,6,4,2
KLAC,20,7,7,6,0
KHC,34,13,14,7,3
KR,21,5,9,6,3
LHX,,,,,
LH,15,1,8,7,2
LRCX,15,5,5,5,1
LW,,,,,
LVS,18,2,8,9,2
LEG,49,20,17,11,2
LDOS,14,1,7,6,1
LEN,25,10,9,6,2
LNC,18,2,7,9,2
LIN,,,,,
LYV,,,,,
LKQ,14,5,5,4,2
LMT,29,5,16,7,3
L,15,1,3,11,1
LOW,12,4,5,3,2
LUMN,26,5,13,8,2
LYB,27,16,3,7,2
MTB,27,2,13,12,2
MRO,43,24,10,9,2
MPC,28,15,7,6,3
MKTX,,,,,
MAR,22,8,10,4,3
MMC,19,0,8,11,2
MLM,32,18,5,9,2
MAS,26,14,4,8,1
MA,17,0,8,9,4
MKC,28,9,14,5,2
MCD,24,4,15,6,3
MCK,16,2,9,5,4
MDT,23,2,13,8,3
MRK,22,1,11,10,3
MET,18,1,8,9,2
MTD,13,1,7,5,1
MGM,28,3,13,12,2
MCHP,32,14,9,8,1
MU,18,7,4,6,2
MSFT,13,0,8,5,3
MAA,19,6,7,6,1
MRNA,,,,,
MHK,14,5,4,4,2
TAP,19,6,7,5,2
MDLZ,23,7,11,5,3
MPWR,,,,,
MNST,28,12,11,5,2
MCO,12,0,6,6,2
MS,23,1,12,10,3
MSI,15,2,7,5,3
MSCI,12,2,5,5,1
NDAQ,12,2,5,5,2
NTAP,16,3,8,6,0
NFLX,17,0,7,10,2
NWL,16,6,5,4,2
NEM,23,8,10,5,3
NWSA,13,0,6,7,2
NWS,,,,,
NEE,27,13,8,6,2
NLSN,23,0,17,6,1
NKE,15,2,6,7,3
NI,30,15,10,5,3
NSC,24,9,12,3,2
NTRS,25,2,13,10,2
NOC,30,9,17,5,3
NLOK,17,1,11,5,2
NCLH,28,13,11,4,2
NOV,33,13,12,9,1
NRG,32,17,9,6,2
NUE,37,11,16,10,2
NVDA,13,3,4,6,2
NVR,24,9,9,6,2
NXPI,20,8,7,5,1
ORLY,13,0,9,4,1
OXY,38,20,11,7,2
ODFL,,,,,
OMC,18,0,11,8,2
OKE,25,14,8,3,1
ORCL,18,0,11,7,2
OGN,,,,,
OTIS,,,,,
PCAR,28,8,11,9,3
PKG,14,9,1,4,2
PH,28,8,12,7,2
PAYX,17,1,10,6,0
PAYC,,,,,
PYPL,16,1,9,6,2
PENN,,,,,
PNR,29,9,14,7,1
PBCT,24,2,12,10,2
PEP,17,5,8,5,3
PKI,18,1,11,6,2
PRGO,40,3,24,13,2
PFE,25,2,13,10,3
PM,24,4,11,9,3
PSX,33,19,8,6,3
PNW,26,11,9,6,2
PXD,33,15,9,9,1
PNC,22,2,12,8,3
POOL,,,,,
PPG,24,9,8,7,1
PPL,34,20,8,6,2
PFG,20,2,8,10,1
PG,27,9,10,7,3
PGR,23,2,10,12,2
PLD,10,2,3,4,1
PRU,17,1,7,9,2
PTC,20,1,13,6,2
PEG,29,15,9,6,2
PSA,12,5,3,5,1
PHM,24,9,9,5,2
PVH,16,1,9,5,3
QRVO,32,16,9,7,0
QCOM,18,6,3,9,4
PWR,36,9,17,10,2
DGX,19,0,10,9,3
RL,14,1,7,6,2
RJF,27,2,13,12,2
RTX,,,,,
O,14,4,5,5,0
REG,12,4,4,5,0
REGN,21,0,13,7,2
RF,19,2,10,8,2
RSG,21,12,6,3,3
RMD,27,4,12,11,1
RHI,9,0,6,4,1
ROK,19,6,7,6,1
ROL,20,2,12,7,0
ROP,20,1,14,5,0
ROST,15,2,8,6,2
RCL,21,9,8,4,3
SPGI,13,2,6,5,1
CRM,11,0,7,4,2
SBAC,15,3,6,5,0
SLB,24,7,10,7,1
STX,11,2,4,5,1
SEE,20,14,3,4,2
SRE,30,15,9,6,3
NOW,17,1,9,6,1
SHW,29,12,11,6,2
SPG,15,5,4,6,1
SWKS,33,15,10,8,0
SNA,31,9,14,8,1
SO,34,16,11,7,2
LUV,31,10,15,6,2
SWK,27,6,13,8,1
SBUX,21,3,13,4,2
STT,23,2,12,9,2
STE,,,,,
SYK,31,4,15,12,3
SIVB,29,2,13,14,0
SYF,19,0,12,7,1
SNPS,14,1,9,4,0
SYY,12,2,5,5,2
TMUS,23,3,13,7,3
TROW,20,2,12,6,2
TTWO,,,,,
TPR,14,1,7,5,2
TGT,15,2,8,5,3
TEL,16,7,5,5,1
TDY,,,,,
TFX,29,5,17,8,2
TER,19,7,6,6,0
TSLA,30,3,17,10,3
TXN,20,9,5,6,2
TXT,36,10,18,8,2
COO,21,3,11,7,2
HIG,18,2,7,9,2
HSY,26,11,10,5,3
MOS,36,16,12,8,2
TRV,19,1,7,11,1
DIS,15,0,7,8,2
TMO,14,2,6,6,3
TJX,15,2,7,6,2
TSCO,14,3,7,4,2
TT,16,8,3,5,2
TDG,40,11,20,8,2
TRMB,13,3,4,6,0
TFC,,,,,
TWTR,20,3,10,7,3
TYL,,,,,
TSN,37,13,13,10,4
USB,30,2,16,12,3
UDR,13,4,4,5,0
ULTA,17,4,7,6,1
UAA,16,2,8,6,2
UA,,,,,
UNP,25,9,12,4,2
UAL,30,11,14,6,2
UPS,21,6,9,6,3
URI,17,4,7,6,1
UNH,20,0,14,6,3
UHS,31,3,19,9,3
UNM,23,3,8,12,1
VLO,28,16,7,5,3
VTR,12,3,4,4,0
VRSN,22,3,13,6,1
VRSK,21,0,15,6,1
VZ,18,2,10,6,3
VRTX,25,0,17,8,2
VFC,13,1,7,5,2
VIAC,,,,,
VTRS,,,,,
V,16,1,8,8,3
VNO,13,3,4,6,1
VMC,29,15,5,9,2
WRB,24,2,8,15,1
GWW,15,3,6,6,1
WAB,32,10,14,8,1
WBA,18,2,12,5,3
WMT,27,3,17,7,4
WM,15,8,4,4,2
WAT,18,1,11,6,0
WEC,33,18,9,5,1
WFC,33,1,16,16,5
WELL,11,3,3,5,1
WST,,,,,
WDC,12,2,4,6,1
WU,14,1,7,6,3
WRK,,,,,
WY,17,10,3,4,2
WHR,18,7,7,5,2
WMB,21,9,9,3,2
WLTW,21,0,10,10,2
WYNN,27,4,12,12,3
XEL,29,16,9,4,1
XLNX,19,5,6,8,1
XYL,17,4,8,5,2
YUM,22,4,13,5,3
ZBRA,,,,,
ZBH,28,5,14,10,2
ZION,,,,,
ZTS,18,1,8,9,1
